,Temperature,Latitude,Longitude,Humidity,Wind Speed,Cloud,Country,Date,City
318,72.45,-17.7125,-39.2481,83,8.81,0,BR,1627433413,caravelas
319,73.56,55.7435,-97.8558,49,9.22,75,CA,1627433750,thompson
320,58.59,55.4627,-4.6339,88,3.44,75,GB,1627433750,ayr
321,74.61,41.7333,23.15,50,1.3,0,BG,1627433751,kresna
322,59.23,36.6167,101.7667,59,3.04,29,CN,1627433333,xining
323,57.72,-38.3667,178.3,53,9.06,0,NZ,1627433751,tolaga bay
324,82.67,24.8,125.2833,94,8.05,75,JP,1627433671,hirara
325,59.32,57.8,158.6667,79,4.05,100,RU,1627433513,tigil
326,99.16,30.7,-111.8167,26,11.07,13,MX,1627433752,altar
327,75.76,4.8699,-2.2405,82,9.82,100,GH,1627433441,axim
328,68.63,27.9054,-15.4461,78,19.57,75,ES,1627433454,aguimes
329,36.79,-20.4597,-66.825,37,22.64,0,BO,1627432966,uyuni
330,71.98,39.8161,109.9776,46,4.92,100,CN,1627433698,dongsheng
331,83.97,27.9167,96.1667,71,0.94,76,IN,1627433617,tezu
332,64.87,55.3422,-131.6461,68,8.05,75,US,1627433450,ketchikan
333,64.29,-11.0964,-77.6139,85,11.18,46,PE,1627433651,hualmay
334,73.49,19.8833,75.3333,83,0.0,75,IN,1627433753,aurangabad
335,69.42,-34.6833,150.8667,39,8.99,32,AU,1627433753,kiama
336,87.66,23.6651,116.6379,64,2.62,7,CN,1627433753,chaozhou
337,53.92,-41.0667,145.9167,83,20.02,91,AU,1627433430,burnie
338,76.86,-14.7972,-57.2881,48,10.78,25,BR,1627433754,nova olimpia
339,46.6,70.9821,25.9704,87,4.43,99,NO,1627433564,honningsvag
340,83.17,21.3469,-158.0858,61,14.97,40,US,1627433754,makakilo city
341,63.77,47.8043,67.7144,40,10.36,2,KZ,1627433668,zhezkazgan
342,82.33,9.9658,98.6348,84,14.99,99,TH,1627433755,ranong
343,50.11,64.3833,-173.3,81,13.42,90,RU,1627433755,provideniya
344,82.44,20.7,-105.2,86,3.27,54,MX,1627433533,ixtapa
345,80.67,37.9407,22.9573,45,3.4,0,GR,1627433465,corinto
346,50.7,63.7506,-68.5145,57,18.01,40,CA,1627433187,iqaluit
347,57.74,40.5982,-124.1573,93,5.75,1,US,1627432986,fortuna
348,52.61,65.8167,87.9833,93,6.06,100,RU,1627433756,turukhansk
349,74.35,-1.8283,-44.8683,91,2.75,49,BR,1627433756,cururupu
350,91.27,26.9581,56.2719,75,2.84,76,IR,1627433756,qeshm
351,89.71,48.2325,-101.2963,18,5.06,100,US,1627433757,minot
352,82.47,20.8667,-90.4,78,9.4,49,MX,1627433626,celestun
353,82.36,21.4612,-71.1419,74,12.66,40,TC,1627432982,cockburn town
354,89.8,22.8909,-109.9124,60,8.99,6,MX,1627433757,cabo san lucas
355,76.8,4.9533,-77.366,86,0.94,100,CO,1627433757,pizarro
356,79.95,42.9019,133.9064,70,5.41,4,RU,1627433758,preobrazheniye
357,69.21,33.0833,-16.3333,68,13.8,75,PT,1627433758,camacha
358,87.15,42.9744,140.5089,49,1.1,6,JP,1627433675,iwanai
359,66.07,-35.7167,150.1833,42,13.27,69,AU,1627433758,batemans bay
360,68.34,13.4,78.0667,82,14.74,100,IN,1627433759,chintamani
361,72.86,-5.55,12.2,90,6.51,97,AO,1627433177,cabinda
362,46.44,70.3705,31.1107,86,15.32,97,NO,1627433430,vardo
363,80.62,-17.7333,-149.15,71,10.25,97,PF,1627433323,tautira
